number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,params_n_units_l5,params_optimizer,params_weight_decay,user_attrs_best_epoch,user_attrs_best_val_mae,user_attrs_model_params,state
0,1571.1617431640625,2026-03-24 00:22:50.047106,2026-03-24 00:23:21.470309,0 days 00:00:31.423203,32,0.014041677639819287,0.0737265320016441,4,16,11,57.0,42.0,,,Adam,1.0994335574766187e-05,212.0,1571.1617431640625,3746.0,COMPLETE
1,1632.0379638671875,2026-03-24 00:23:21.521233,2026-03-24 00:23:31.734843,0 days 00:00:10.213610,64,0.038875051677790415,0.04297256589643226,4,24,42,15.0,24.0,,,Adam,8.168455894760161e-05,96.0,1632.0379638671875,2530.0,COMPLETE
2,1507.1656494140625,2026-03-24 00:23:31.749691,2026-03-24 00:23:40.114139,0 days 00:00:08.364448,64,0.005854643368675156,0.0827557613304815,2,62,63,,,,,SGD,4.066563313514796e-05,120.0,1507.1656494140625,4841.0,COMPLETE
3,1607.1375732421875,2026-03-24 00:23:40.145576,2026-03-24 00:24:04.115576,0 days 00:00:23.970000,32,0.023290198344001523,0.07976195410250031,6,45,25,37.0,39.0,18.0,63.0,RMSprop,0.0007568292060167617,102.0,1607.1375732421875,6434.0,COMPLETE
4,1568.3526611328125,2026-03-24 00:24:04.132821,2026-03-24 00:24:18.724503,0 days 00:00:14.591682,32,0.03498095607205338,0.03528410587186427,3,23,55,28.0,,,,SGD,0.00012172847081122418,137.0,1568.3526611328125,3336.0,COMPLETE
5,1834.096435546875,2026-03-24 00:24:18.741055,2026-03-24 00:24:46.883412,0 days 00:00:28.142357,16,0.07339152856093507,0.07941433120173512,2,48,49,,,,,RMSprop,1.4063366777718176e-05,150.0,1834.096435546875,3077.0,COMPLETE
6,1742.0692138671875,2026-03-24 00:24:46.902570,2026-03-24 00:25:11.037125,0 days 00:00:24.134555,16,0.029266498982407234,0.05249934326457544,3,49,44,58.0,,,,SGD,1.7345566642360933e-05,130.0,1742.0692138671875,5612.0,COMPLETE
7,1979.1336669921875,2026-03-24 00:25:11.052484,2026-03-24 00:25:42.087478,0 days 00:00:31.034994,16,0.002287721406968567,0.055771362204823254,4,14,9,44.0,25.0,,,RMSprop,0.0006533305220227731,118.0,1979.1336669921875,2036.0,COMPLETE
8,1663.5804443359375,2026-03-24 00:25:42.104158,2026-03-24 00:25:58.493706,0 days 00:00:16.389548,64,0.08367278871083157,0.0884314531168946,2,54,44,,,,,SGD,0.00040489662225846743,282.0,1663.5804443359375,3147.0,COMPLETE
9,1853.9254150390625,2026-03-24 00:25:58.514385,2026-03-24 00:26:05.207645,0 days 00:00:06.693260,32,0.020514164628774752,0.08746575249307091,2,32,54,,,,,Adam,1.0325337616482036e-05,33.0,1853.9254150390625,2297.0,COMPLETE
10,1651.806396484375,2026-03-24 00:26:05.223901,2026-03-24 00:26:18.752090,0 days 00:00:13.528189,64,0.06265060230224888,0.01872719017734517,5,62,64,10.0,62.0,62.0,,SGD,5.045088829639178e-05,108.0,1651.806396484375,10411.0,COMPLETE
11,1616.9964599609375,2026-03-24 00:26:18.770896,2026-03-24 00:26:45.556202,0 days 00:00:26.785306,32,0.0482061837631941,0.024049827227484576,3,34,63,29.0,,,,SGD,0.00019001907931489773,208.0,1616.9964599609375,4649.0,COMPLETE
12,1456.084228515625,2026-03-24 00:26:45.584794,2026-03-24 00:26:58.120022,0 days 00:00:12.535228,64,0.006534441042245924,0.09918751073151034,3,25,56,25.0,,,,SGD,4.710918310588886e-05,133.0,1456.084228515625,3344.0,COMPLETE
13,1376.8265380859375,2026-03-24 00:26:58.160052,2026-03-24 00:27:08.566295,0 days 00:00:10.406243,64,0.0004083345290186481,0.09990412097690146,3,40,28,21.0,,,,SGD,3.845325335416456e-05,87.0,1376.8265380859375,2317.0,COMPLETE
14,1539.50732421875,2026-03-24 00:27:08.606797,2026-03-24 00:27:18.454415,0 days 00:00:09.847618,64,0.002537696350514608,0.09503863703666904,3,38,28,21.0,,,,SGD,2.958523910479902e-05,119.0,1539.50732421875,2239.0,COMPLETE
15,1603.7828369140625,2026-03-24 00:27:18.473326,2026-03-24 00:27:33.942890,0 days 00:00:15.469564,64,0.05052443390813716,0.067552161964379,5,26,32,24.0,12.0,8.0,,SGD,2.542651593755518e-05,150.0,1603.7828369140625,2507.0,COMPLETE
